name,description,image_url,category
The Hunger Games,Suzanne Collins,https://images.gr-assets.com/books/1447303603m/2767052.jpg,book
Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474154022m/3.jpg,book
Twilight,Stephenie Meyer,https://images.gr-assets.com/books/1361039443m/41865.jpg,book
To Kill a Mockingbird,Harper Lee,https://images.gr-assets.com/books/1361975680m/2657.jpg,book
The Great Gatsby,F. Scott Fitzgerald,https://images.gr-assets.com/books/1490528560m/4671.jpg,book
The Fault in Our Stars,John Green,https://images.gr-assets.com/books/1360206420m/11870085.jpg,book
The Hobbit or There and Back Again,J.R.R. Tolkien,https://images.gr-assets.com/books/1372847500m/5907.jpg,book
The Catcher in the Rye,J.D. Salinger,https://images.gr-assets.com/books/1398034300m/5107.jpg,book
Angels & Demons ,Dan Brown,https://images.gr-assets.com/books/1303390735m/960.jpg,book
Pride and Prejudice,Jane Austen,https://images.gr-assets.com/books/1320399351m/1885.jpg,book
The Kite Runner ,Khaled Hosseini,https://images.gr-assets.com/books/1484565687m/77203.jpg,book
Divergent,Veronica Roth,https://images.gr-assets.com/books/1328559506m/13335037.jpg,book
Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",https://images.gr-assets.com/books/1348990566m/5470.jpg,book
Animal Farm: A Fairy Story,George Orwell,https://images.gr-assets.com/books/1424037542m/7613.jpg,book
Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",https://images.gr-assets.com/books/1358276407m/48855.jpg,book
Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1327868566m/2429135.jpg,book
Catching Fire,Suzanne Collins,https://images.gr-assets.com/books/1358273780m/6148028.jpg,book
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",https://images.gr-assets.com/books/1499277281m/5.jpg,book
